,Adsorbent,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,0.001bar_GCMC,Adsorbate,Uptake,Temperature,Molecular weight (g/mol),H-bond donors,H-bond acceptors,Dipole moment (D),Molecular surface area (Å^2),Critical temperature (K),"Compressibility factor (상온,상압)","Hmolar (상온,상압)","Compressibility factor 주어진 압력, 온도","Hmola 주어진 압력, 온도",Boiling point at 1atm (K),Melting point at 1atm (K),Boiling point at 주어진압력 (K),Melting point at 주어진압력 (K),Pressure
27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,6.64699,4.59021,5.67003,1.10689,1216.8,1099.29,0.0,0.0,0.5272,0.476289,0.0,1,0.0004003512,O2,2.97598223,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,11.28381,4.52903,11.28381,0.822811,2257.22,2743.3,0.0,0.0,0.6948,0.844422,0.0,1,0.0004231525,O2,3.733792843,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,6.69143,3.5273,6.69143,1.34288,1327.26,988.368,0.0,0.0,0.5278,0.393035,0.0,1,0.0002780435,O2,2.147291955,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,6.29847,5.43889,6.29847,1.11326,868.696,780.315,0.0,0.0,0.5092,0.457394,0.0,1,8.97462e-05,O2,0.778437999,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,15.68052,8.0633,15.68052,0.473321,2336.0,4935.34,0.0,0.0,0.7938,1.67709,0.0,0,0.0002993619,O2,4.814686744,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,11.40609,8.52606,11.40609,2.31198,1582.43,684.446,0.0,0.0,0.647,0.279846,8.65e-05,1,2.99799e-05,O2,0.377381968,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,6.36153,3.76503,6.36153,0.960789,1995.17,2076.59,0.0,0.0,0.6214,0.64676,0.0,1,0.0005807688,O2,4.767952902,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,6.24791,4.32537,6.22758,1.12188,1617.2,1441.52,0.0,0.0,0.5614,0.500411,0.0,0,0.0005107966,O2,3.757163363,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,6.09101,5.53211,6.09101,1.35156,1494.27,1105.59,0.0,0.0,0.6002,0.44408,0.0,1,0.0001305447,O2,1.448135497,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,12.13124,5.0609,12.1281,0.908718,2183.39,2402.71,0.0,0.0,0.6878,0.75689,0.0,0,0.0003426609,O2,3.466305083,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,8.49751,4.07254,8.49751,1.27238,1692.83,1330.45,0.0,0.0,0.6072,0.477217,0.000157186,0,0.0001685024,O2,1.575713704,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,14.70209,8.11021,14.70209,0.628556,2151.09,3422.27,0.0,0.0,0.8094,1.28771,0.0,0,0.0001417874,O2,2.017089986,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
39,acscombsci.5b00188_24205_clean,5.32506,4.91361,5.32498,1.2624,1666.29,1319.94,0.0,0.0,0.5558,0.440273,0.0,0,0.0004498268,O2,3.268040453,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
40,acscombsci.5b00188_3001288_clean,29.41365,23.60037,29.35162,0.156124,881.282,5644.76,0.0,0.0,0.9382,6.00933,0.0,0,0.0004397252,O2,5.186559189,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
41,acscombsci.5b00188_34903_clean,6.15808,5.85025,6.15808,2.16583,1748.44,807.285,0.0,0.0,0.542,0.25025,0.0,0,0.0011095929,O2,3.600257312,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
42,acscombsci.5b00188_5013797_clean,9.69678,6.71185,9.61668,0.664961,2272.9,3418.09,0.0,0.0,0.7302,1.09811,0.0,0,0.0002832689,O2,2.998046721,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
43,acscombsci.5b00188_5020072_clean,14.46967,11.94118,14.45544,0.429595,1931.96,4497.16,0.0,0.0,0.8224,1.91436,0.0,0,0.0002915791,O2,3.255702616,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
44,acscombsci.5b00188_5024922_clean,20.5205,15.85622,20.5205,0.295002,1403.53,4757.71,0.0,0.0,0.8866,3.00541,0.0,0,0.0003018877,O2,3.879440047,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
45,acscombsci.5b00188_5036495_clean,10.8747,9.02496,10.86921,0.338372,2296.38,6786.58,0.0,0.0,0.8498,2.51144,0.0,0,0.0003649404,O2,3.96695474,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
46,acscombsci.5b00188_5040209_clean,7.3732,5.53143,7.30173,1.04632,1848.9,1767.06,0.0,0.0,0.6162,0.588923,0.0,0,0.0005965835,O2,3.452716263,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
47,acscombsci.5b00188_8372_clean,5.7583,4.46842,5.7583,0.958855,3178.07,3314.45,0.0,0.0,0.7062,0.736503,0.0,0,0.000677334,O2,2.998646451,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
48,ACUBAB_clean,6.48174,4.30295,6.47204,2.30944,1238.98,536.484,0.0,0.0,0.5252,0.227414,0.0,1,0.0001419132,O2,1.082470351,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
49,ACUFEK_clean,15.55627,9.00897,15.55627,0.559431,2205.12,3941.72,0.0,0.0,0.787,1.40679,0.0,1,0.0002927738,O2,3.798932962,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
50,ACUJOZ_manual,11.50806,7.82539,10.51641,0.694288,2343.63,3375.59,0.0,0.0,0.739,1.0644,0.0,1,0.0002073327,O2,2.841753249,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
51,ACUTOI_clean,5.192,4.5372,5.18708,1.71994,820.91,477.29,0.0,0.0,0.4076,0.236985,0.0,1,8.35786e-05,O2,0.755094088,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
52,ADARAA_clean,12.29205,5.40077,12.29205,0.881935,2191.85,2485.27,7.83761,8.88684,0.6948,0.787813,0.0,1,0.0003367207,O2,3.642867038,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
53,ADASEF_clean,21.62414,10.92309,17.5655,0.435607,1820.41,4179.02,0.0,0.0,0.8462,1.94258,0.0,1,0.0002985219,O2,3.993967068,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
54,ADASIJ_clean,18.23438,6.60024,18.20695,0.629251,2196.94,3491.36,0.0,0.0,0.765,1.21573,0.0,1,0.0002643836,O2,3.470664583,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
55,ADASOP_clean,18.07263,6.71346,18.07263,0.63164,2223.07,3519.51,0.0,0.0,0.7846,1.24216,0.0,1,0.0003379513,O2,3.801786378,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
56,ADASUV_clean,17.16775,6.7332,17.16775,0.625693,2275.03,3636.01,0.0,0.0,0.7672,1.22616,0.0,1,0.0002471122,O2,3.369135088,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
57,ADATAC_clean,26.33515,10.27637,16.37091,0.33727,1729.95,5129.28,0.0,0.0,0.871,2.5825,0.0,1,0.0004030375,O2,4.802874318,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
58,ADATEG_manual,27.33782,13.33904,27.33782,0.238777,1473.42,6170.7,0.0,0.0,0.896,3.75246,0.0,1,0.0003446145,O2,4.9899485,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
59,ADATIK_clean,24.55082,12.17426,18.62931,0.377577,1712.52,4535.57,0.0,0.0,0.8764,2.32112,0.0,1,0.0003409704,O2,3.994118198,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
60,ADAXEK_clean,5.76724,4.10445,5.76724,1.26343,1305.6,1033.38,0.0,0.0,0.5042,0.399073,0.0,0,0.00037663,O2,2.347210948,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
61,ADAXIO_clean,5.72682,5.00855,5.71823,1.28062,1140.41,890.52,0.0,0.0,0.4934,0.385283,0.0,0,0.0001905047,O2,1.655926221,293.15,31.998,0,2,0.0,34.14,154.58100000000002,0.999353016225986,8671.992981630285,0.9898472882187672,8410.905176997103,90.1878078805,54.36,126.982672212532,54.36,15.0
